Link, Anchor Text
"https://drive.google.com/?tab=oo&authuser=0", Drive
"https://www.google.co.in/intl/en-GB/about/products?tab=oh", 
"https://accounts.google.com/SignOutOptions?hl=en-GB&continue=https://drive.google.com/drive/&service=writely", 
"https://myaccount.google.com/?utm_source=OGB&tab=ok", 
"https://myaccount.google.com/?utm_source=OGB&tab=ok&utm_medium=act", Manage your Google Account
"https://drive.google.com/drive/folders/1TZR_RbZFMRIupLEBK0zVgJOlhfqdvgeU?authuser=0&ogss=1", DefaultHarsh-Greninjamegaashgreninja77@gmail.com
"https://myaccount.google.com/brandaccounts?authuser=0&continue=https://drive.google.com/drive/&service=%3Fauthuser%3D%24authuser%26ogss%3D1", All Brand accounts
"https://accounts.google.com/AddSession?hl=en-GB&continue=https://drive.google.com/drive/&service=writely&ec=GAlAMQ", Add another account
"https://accounts.google.com/Logout?hl=en-GB&continue=https://drive.google.com/drive/&service=writely&timeStmp=1637475915&secTok=.AG5fkS9jI1uXm8huZR-HoYRMmarR2t9q2g&ec=GAdAMQ", Sign out
"https://policies.google.com/privacy?hl=en-GB", Privacy Policy
"https://myaccount.google.com/termsofservice?hl=en-GB", Terms of Service
"https://drive.google.com/settings/storage?authuser=0&i=m&utm_source=drive&utm_medium=web&utm_campaign=g1_widget_normal#upgrade", 
"https://www.google.com/drive/download", Download
"https://support.google.com/drive/answer/7329379", Learn more
